Iteration	mA	kD	mB	mU	e0	eP	bA	bI	robustness	|CoRa<=0.1|	min(CoRA)	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0	0.002	40.4144	36.329	5.8916	1.849	0.2739	9.3968	0.0075	0.0	NaN	0.98694652562056	NaN	([0.9999967361346221, 0.9999947447246019, 0.9999915386745846, 0.9999863777579284, 0.9999780716421339, 0.9999647089603361, 0.9999432204487159, 0.9999086949873977, 0.9998532980661913, 0.9997646053518106, 0.9996230995803981, 0.9993985933182689, 0.9990455802990699, 0.9984983806417237, 0.9976691925204797, 0.9964567761179365, 0.994780071829254, 0.9926526565178965, 0.9902904006747888, 0.9881766043224692, 0.98694652562056, 0.9870530040594477, 0.9884544993227006, 0.9906457249612183, 0.9929970386501702, 0.9950640553418051, 0.996668095925058, 0.9978163717518299, 0.9985966310337433, 0.9991094241703524], [0.0024737256005880376, 0.003983338659433089, 0.006414198914209213, 0.010328488911822812, 0.016631438603776517, 0.02678062442706184, 0.04312291666793379, 0.0694368488286036, 0.11180544774630484, 0.18002036453839665, 0.28983942891143066, 0.4666131132758961, 0.7511020836866973, 1.208791057800598, 1.9447589569969157, 3.1273385470692707, 5.025634969627902, 8.068942514842504, 12.941195295201029, 20.73271546957724, 33.18731834580178, 53.107230230647, 85.01251081612577, 136.20286938567477, 218.45786626929288, 350.7635165933804, 563.6985481473573, 906.5001355393669, 1458.446443335129, 2347.1890595445116], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
1.0	0.002524	52.28	48.02	5.243	1.828	0.2644	11.59	0.00679	0.0	NaN	0.982402627421833	NaN	0.9999976001977168	0.9999961358542018	0.9999937781397548	0.9999899822817089	0.9999838717183803	0.9999740366788747	0.999958212752907	0.9999327627177552	0.9998918627376587	0.9998262130528128	0.9997210416180006	0.999553081384341	0.9992861872112891	0.9988654715523613	0.9982107111675791	0.9972121840615662	0.99573731909056	0.993664822675869	0.9909680858579561	0.9878499128331709	0.9848564524855473	0.98280302177965	0.982402627421833	0.9838082200142492	0.9865027117808042	0.9896549157135264	0.9925763904565996	0.9949240968151467	0.9966441261293026	0.9978307353959025
2.0	0.002701	37.6	46.89	5.773	2.543	0.2872	15.78	0.005675	0.0	NaN	0.9756542560329351	NaN	0.9999935195994343	0.999989565740283	0.9999832003975555	0.999972954173617	0.9999564654830042	0.9999299388263329	0.9998872888286272	0.9998187789469691	0.9997088934312341	0.999533065442496	0.9992528017424414	0.998808812424938	0.9981123320892046	0.997036713621729	0.9954160498258388	0.9930665437297235	0.989857365934393	0.9858548287941266	0.9815098088865446	0.9777358425724789	0.9756542560329351	0.9760047883104025	0.9786570626628038	0.9827013072910457	0.9870244435730209	0.9908329992919204	0.9937991702255414	0.9959296855864854	0.9973811501715623	0.9983368207971484
3.0	0.003107	49.78	55.88	4.908	1.69	0.3515	21.76	0.008105	0.0	NaN	0.9787031121691178	NaN	0.9999979504363202	0.9999966997649914	0.999994686015011	0.9999914437609912	0.9999862239482217	0.9999778214445083	0.9999642991081095	0.9999425431369346	0.9999075594973801	0.9998513538900358	0.99976117680789	0.9996168153330337	0.9993865318555596	0.9990212737010044	0.99844718155694	0.9975578448791388	0.9962114022976932	0.9942449421635842	0.9915287715601139	0.9880845275400668	0.9842527693078899	0.9807919720020609	0.9787031121691178	0.9787254509744163	0.9808505664536216	0.9843283115354788	0.9881584157463749	0.991590203673548	0.9942909526101076	0.9962435982057652
4.0	0.002926	47.35	48.99	7.9	1.054	0.322	19.25	0.01225	0.0	NaN	0.9911790582623418	NaN	0.9999988785709882	0.9999981942754897	0.9999970924920026	0.999995318621135	0.9999924629740139	0.9999878665772706	0.999980470741075	0.9999685745399653	0.9999494531288835	0.9999187520863013	0.999869546235635	0.9997909062549206	0.999665798579234	0.9994682194722844	0.9991598234571015	0.9986873548397831	0.997984591288525	0.9969866698240188	0.9956684032758983	0.9941116960565536	0.9925729499012532	0.9914653401201441	0.9911790582623418	0.9918270975488993	0.9931607437705459	0.9947495932072916	0.9962310829467261	0.997423540977437	0.9982971960227398	0.9988996423654302
5.0	0.002722	57.83	57.21	5.742	1.034	0.3518	18.75	0.0208	0.0	NaN	0.989847931829197	NaN	0.9999996335081696	0.9999994098585795	0.9999990497344406	0.9999984698668983	0.999997536197422	0.999996032924329	0.9999936127258825	0.9999897167779467	0.9999834467344023	0.999973358411258	0.9999571350462033	0.999931066756115	0.9998892336149665	0.999822241762571	0.999715319749925	0.999545583220555	0.9992784417907526	0.9988637423631785	0.998233895517602	0.9973097084770403	0.9960248523977846	0.9943820109916746	0.9925375247479149	0.990859315579968	0.989847931829197	0.9898772168902932	0.9909356067401072	0.9926347818310093	0.994475964342405	0.9961021014390351
6.0	0.002874	68.36	84.98	6.017	0.6469	0.3359	21.46	0.02353	0.0	NaN	0.9936133388995556	NaN	0.9999998849628	0.9999998147609785	0.9999997017192617	0.9999995196966588	0.9999992266034039	0.9999987546745744	0.9999979948183578	0.9999967714396337	0.9999948019690007	0.9999916318744086	0.9999865308290047	0.999978325321908	0.9999651349030522	0.9999439533135387	0.9999099963009648	0.9998557052357134	0.9997692791536797	0.9996326502728344	0.9994190456930147	0.9990909657578497	0.9986010286053186	0.9979010594021376	0.9969678243928917	0.995850515955982	0.9947225658234957	0.9938785787012063	0.9936133388995556	0.9940321260364307	0.9949714433081285	0.9961197588686642
7.0	0.002442	77.79	97.35	7.212	0.5026	0.2718	15.12	0.01392	0.0	NaN	0.9964881985216167	NaN	0.9999999022614987	0.9999998426167199	0.9999997465750994	0.9999995919283624	0.9999993429207076	0.9999989419897332	0.9999982964806833	0.9999972572879016	0.9999955845527022	0.9999928928388057	0.9999885627501339	0.9999816015265303	0.999970421499583	0.9999524945720392	0.9999238229316475	0.9998781555907378	0.9998058983490397	0.9996927756013226	0.999518648688339	0.9992577315834856	0.9988830132516818	0.9983794898702797	0.9977696344838755	0.997143215019753	0.9966601288629754	0.9964881985216167	0.996696157947216	0.9972014609364311	0.9978324373819347	0.998434540268585
8.0	0.002731	81.03	116.5	6.363	0.7046	0.1981	13.52	0.01196	0.0	NaN	0.9940418734879106	NaN	0.9999998639989287	0.9999997810041356	0.9999996473631741	0.9999994321724114	0.9999990856749775	0.9999985277650196	0.9999976294919452	0.9999961833172658	0.9999938553237653	0.9999901087273334	0.9999840806011315	0.9999743866864116	0.9999588104486172	0.9999338152159325	0.9998937896857815	0.9998299123147733	0.9997285217624747	0.9995689824411267	0.9993214118609548	0.9989456398282869	0.9983948788086675	0.9976307338739775	0.9966573958822755	0.9955726784135266	0.9946012098173601	0.9940418734879106	0.9941066531978262	0.9947695447869536	0.9957863947806763	0.9968629289169384
9.0	0.002812	93.57	109.7	5.307	0.5634	0.1959	18.3	0.0138	0.0	NaN	0.9938606903393754	NaN	0.9999999078555284	0.9999998516239349	0.999999761077401	0.9999996152765305	0.9999993805061357	0.9999990024829619	0.9999983938150321	0.9999974138257536	0.9999958361117651	0.9999932964226538	0.9999892092765293	0.9999826335616226	0.9999720599703937	0.999955072612499	0.9999278190142453	0.9998841927065462	0.9998146087722993	0.9997042620393459	0.9995308856589763	0.9992624739088345	0.9988565818690415	0.9982651485371852	0.9974520378471923	0.9964309236652183	0.9953181617182497	0.9943595172509897	0.9938606903393754	0.9940135891052727	0.9947570567921925	0.9958233337980613
