mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.4217	2.3714	0.0133	0.1	0.001	0.002592943797404667	0.0391949355548692	0.001	0.0	0.0	0.0	6.01278822927442	0.0391949355548692	0.06010836290438432	0.09005881755542046	0.13079053280297212	0.18279518260288716	0.24473818128332905	0.3137236298780336	0.3863719372452758	0.45994616393447135	0.5328093664848136	0.6041358348218964	0.6732363663343816	0.7389159080301858	0.7992297193569233	0.8518754895582992	0.8950704935423722	0.9283038033540129	0.9524210307406757	0.9691083366340156	0.9802497153275579	0.9875036230960889	0.9921470942421292	0.9950867279044466	0.9969344985134039	0.9980907156386614	0.9988121471608161	0.9992614892624497	0.9995410499717883	0.9997148597698027	0.9998228750355364
0.075	0.0133	0.075	0.0	NaN	NaN	0.2887906126291556	0.001	0.0	0.0	0.0	NaN	0.2887906126291556	0.4427635049754825	0.6087767535030303	0.7472346349620261	0.8432645072805729	0.9040209810517414	0.9412427116841449	0.9639146959691502	0.9777642503059879	0.986262483184752	0.9914972437820615	0.9947308604210799	0.9967321563738022	0.9979723167219883	0.9987414342718726	0.9992186646310134	0.999514876127765	0.9996987679372706	0.9998129444823064	0.9998838410248805	0.999927865495967	0.9999552040946771	0.9999721813093017	0.9999827242472941	0.9999892715133105	0.9999933374466736	0.999995862448709	0.9999974305133228	0.9999984043063153	0.9999990090475971
74.9894	13.3352	74.9894	0.06666666666666667	0.001	0.0016102620275609393	0.0011147098498483674	0.001	1.0	0.0	0.0	0.17806521418912438	0.0011147098498483674	0.01495703863552675	NaN	0.999176516190811	0.9997090630056835	0.9998640158301719	0.9999279022895561	0.9999591720959358	0.9999760074647142	0.9999855917524269	0.9999912342573185	0.9999946247977816	0.9999966879131398	0.9999979530722359	0.9999987326319949	0.9999992144065665	0.9999995126963358	0.9999996975930546	0.9999998122837417	0.9999998834572429	0.9999999276373935	0.9999999550663796	0.99999997209731	0.999999982672669	0.9999999892397093	0.9999999933177842	0.999999995850275	0.9999999974229615	0.9999999983996215	0.9999999990061413
2.3714	0.4217	0.0024	0.0	NaN	NaN	0.45981276562880075	0.001	0.0	0.0	0.0	NaN	0.45981276562880075	0.4922558616957346	0.5239975156257437	0.5563065535852881	0.5903655571761373	0.6271674654543978	0.6673546830322065	0.7109754086990965	0.7571924280794778	0.8041022000457997	0.8489340941962434	0.8887829866389896	0.9215843497465387	0.9467025593816536	0.9647960216559825	0.9772259799697325	0.9854774399348136	0.9908274970956393	0.994242538666227	0.9964004525537922	0.9977552227860937	0.9986023029706805	0.9991305910749984	0.9994595348226238	0.9996641504211261	0.9997913500410057	0.9998703933166787	0.9999194998908618	0.9999500033762808	0.9999689494397467
0.0024	421.6965	2.3714	1.0	0.001	1000.0	1.2671690134392624e-5	0.7880462815669912	0.0	0.0	0.0	175808.65278350495	0.0051938338397006486	0.003231829060559286	0.0020094945091532175	0.0012489010713409574	0.0007759877113285101	0.00048209427429425167	0.00029952551764701	0.00018616373422816927	0.000115831871657081	7.22795304537442e-5	4.544011448268806e-5	2.910864832182252e-5	1.9509061462621003e-5	1.4421894045940511e-5	1.2671690134392624e-5	1.3856216723741735e-5	1.8255941139598556e-5	2.6905301612295958e-5	4.1848600188454176e-5	6.665632427297011e-5	0.00010736529245506376	0.00017417790671350926	0.0002846355331204811	0.00046990742388832514	0.0007883327471149936	0.0013578883358555465	0.002445507277773633	0.00476235968046926	0.010740761674430726	0.03316852853664759
0.0037	0.6494	0.6494	0.5	0.001	0.7880462815669912	0.0006196888741326947	0.010826367338740546	0.0	0.0	0.0	176.31808628126254	0.003403183280977952	0.002143902205635919	0.0013772336366191828	0.0009279731217165107	0.0006932408589773197	0.0006196888741326947	0.0006920971935418355	0.0009316704756869135	0.0014055795864244174	0.002255199089709631	0.003765182628852181	0.006539947575012664	0.01201267436829647	0.024196823604941194	0.0573351731965842	0.17797393184081864	0.5740371130623002	0.8759663122238492	0.955014073576035	0.9793950443382097	0.9892587413890819	0.9939847886088222	0.9964898708188382	0.9979012466172461	0.9987266097121805	0.9992204624080278	0.9995201664235297	0.9997036464984769	0.999816584676373	0.9998863361725094
3.6517	649.3816	649.3816	0.5333333333333333	0.001	1.2689610031679222	6.201628594042736e-7	0.010826367338740546	1.0	0.0	0.0	177.83185416528852	3.4590341768729866e-6	2.1755469696073334e-6	1.395276520142486e-6	9.378637016565007e-7	6.977770472095631e-7	6.201628594042736e-7	6.888360718894295e-7	9.24343136281709e-7	1.3936156413320972e-6	2.2391267161057248e-6	3.751738728340678e-6	6.5629986505529275e-6	1.223129015719636e-5	2.5482685941307167e-5	6.66863666900227e-5	0.000327818763092523	NaN	0.9997949378260638	0.9999463085312524	0.9999775131129692	0.9999886865486718	0.9999937711271335	0.9999963978849513	0.9999978572160365	0.9999987037798839	0.9999992079085018	0.9999995129699991	0.9999996994025757	0.9999998140345417	0.999999884785098
115.4782	0.0205	0.0205	0.0	NaN	NaN	0.9963985829695785	0.001	0.0	0.0	0.0	NaN	0.9963985829695785	0.9977569346766604	0.9986044874019656	0.9991323833286591	0.9994608166505413	0.9996650117487964	0.999791910165409	0.999870750902718	0.9999197257165293	0.999950145068052	0.9999690379921735	0.9999807715862958	0.9999880586433112	0.9999925841434469	0.9999953945997799	0.9999971399577647	0.9999982238612027	0.9999988969861248	0.9999993150090836	0.9999995746088023	0.9999997358247731	0.9999998359426656	0.9999998981176031	0.9999999367292963	0.9999999607078267	0.9999999755988973	0.9999999848465009	0.9999999905894226	0.999999994155864	0.999999996370694
0.1155	20.5353	20.5353	0.5333333333333333	0.001	1.2689610031679222	1.961079691960338e-5	0.010826367338740546	1.0	0.0	0.0	177.85493692030133	0.00010935132775554481	6.877922891527703e-5	4.411288054114794e-5	2.9652681804616583e-5	2.2063230294115644e-5	1.961079691960338e-5	2.178402123205395e-5	2.9232752457648982e-5	4.4073032110058674e-5	7.080785036854673e-5	0.00011862622155260223	0.00020746579055778565	0.00038646042064885454	0.0008042287599956959	0.002097048566024622	0.010075553649331277	NaN	0.9936433375561379	0.9983115318114544	0.9992906675984307	0.9996427245756804	0.9998031920764279	0.9998861565405691	0.9999322679038967	0.9999590236656996	0.9999749589511383	0.9999846026241846	0.9999904964753598	0.9999941205466502	0.9999963573575917
0.6494	0.0037	115.4782	0.0	NaN	NaN	0.9999765031046143	0.001	0.0	0.0	0.0	NaN	0.9999765031046143	0.9999861112849355	0.9999916303889794	0.99999489734982	0.9999968670027098	0.9999980679863313	0.9999988053989393	0.9999992601320298	0.9999995412980706	0.9999997154341561	0.9999998233937322	0.9999998903684353	0.9999999319338605	0.9999999577363023	0.9999999737560454	0.9999999837030267	0.999999989879677	0.9999999937152481	0.9999999960971261	0.9999999975762698	0.9999999984948243	0.9999999990652698	0.9999999994195207	0.9999999996395078	0.9999999997761293	0.9999999998609731	0.9999999999136651	0.9999999999463804	0.9999999999666995	0.9999999999793168
