Iteration	mU	mW	eP	gU	kD	gW	e0	eM	robustness	|CoRa<=0.1|	min(CoRA)	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0	5.0954	324.8291	0.0611	0.011	0.2136	0.0014	32.8158	9.6205	0.0	NaN	0.13808238467616457	NaN	([0.4641147009426593, 0.47138939139376307, 0.47708893469972535, 0.48151349807415, 0.48490175692459536, 0.4874393450105756, 0.48926669584814114, 0.4904855771603618, 0.4911640946317334, 0.49134013914489383, 0.49102331209351824, 0.490195356675257, 0.4888090846486192, 0.4867857366082034, 0.48401066219769123, 0.4803271703098225, 0.4755284060854857, 0.4693472179494345, 0.4614442982409538, 0.4513956387540515, 0.4386819531366759, 0.42268588922231465, 0.4027085941974431, 0.3780263200725491, 0.3480188027209713, 0.31240484772997157, 0.2715913535401716, 0.22704164056073273, 0.18140434051828794, 0.13808238467616457], [1.0059568593306623, 1.256922108235762, 1.5753988889311865, 1.9793790242546552, 2.4916268458030086, 3.1409159273285647, 3.963571019849357, 5.005380703505829, 6.323953930528184, 7.991597548372005, 10.098787723645804, 12.758288656519186, 16.109925238121686, 20.325923651495337, 25.61656674056804, 32.23562726195082, 40.48458368024443, 50.713916702048124, 63.31875477439388, 78.7247466747122, 97.35839266267755, 119.59462062530241, 145.67435179275742, 175.5886537315126, 208.93792573488187, 244.79877454242447, 281.66640230217746, 317.5662835050261, 350.39791714589285, 378.44415989538373], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
1.0	5.294	307.0	0.09767	0.01374	0.2082	0.001656	27.85	12.25	0.03333333333333333	0.0	0.08572305995369649	200.34847393732713	0.4575104262306498	0.4660693808158831	0.472759947167095	0.4779332341512882	0.48186803216116414	0.4847799786802722	0.48683035364359	0.48813344555797805	0.4887621067582267	0.48875140519157334	0.488100375740917	0.48677187687175366	0.4846905207167652	0.48173859802357044	0.47774989208537744	0.47250131002035	0.46570243487716495	0.4569835734217945	0.44588393897825024	0.4318438000805687	0.41420859865716547	0.3922602384047045	0.36530118491191227	0.3328267198266497	0.2948141240587543	0.252101092911031	0.20668903285599466	0.16165521218339504	0.12043588790227278	0.08572305995369649
2.0	5.657	225.9	0.07524	0.01277	0.1348	0.002283	26.47	7.765	0.0	NaN	0.16721535203974672	NaN	0.459588422695315	0.46783093539603005	0.4743165452834973	0.4793806268112336	0.4832931561357112	0.4862668556291146	0.48846548198770096	0.4900111104902926	0.4909899868853249	0.4914568404870626	0.49143767445224606	0.49093107310005135	0.4899080424494154	0.48831035453064386	0.4860473129128536	0.48299080833557956	0.4789685071391903	0.4737550459806684	0.4670612648929544	0.4585219390994789	0.4476834421960674	0.43399478742368086	0.416809363277091	0.39541145056657284	0.36909172179399385	0.3373062449548636	0.29995048021007653	0.2577318625334108	0.21249770900551562	0.16721535203974672
3.0	6.029	191.6	0.06698	0.01463	0.1665	0.002092	26.97	5.568	0.0	NaN	0.15127954742495453	NaN	0.4575529862180746	0.4661727294273432	0.47296503698250114	0.4782724625680524	0.4823730615118369	0.48548698473048196	0.48778408984727845	0.48939096638528723	0.49039670704680055	0.49085719320483284	0.49079784392054726	0.4902148312361915	0.4890747551009925	0.4873127325639368	0.4848288072522054	0.48148254326090606	0.47708565654278207	0.4713926025892257	0.4640892737690805	0.454780545039725	0.4429786870986135	0.42809724753172224	0.4094598124604747	0.38634109806621464	0.35806873366372605	0.324221942033086	0.2849484502913371	0.2413464963376193	0.19570609794387792	0.15127954742495453
4.0	6.677	204.2	0.07015	0.01337	0.2017	0.001936	27.41	4.452	0.0	NaN	0.12393448093519133	NaN	0.45288770665815925	0.46243159816450663	0.46995303705360475	0.4758272751253818	0.4803601482151876	0.4837941273686069	0.4863161190534912	0.4880649127503957	0.4891373695966197	0.4895930109966752	0.48945690765188804	0.4887208485682031	0.4873427695409437	0.48524438522788366	0.48230692527128427	0.4783648486090891	0.47319744023718235	0.4665183555615378	0.45796361534761487	0.44707954970962194	0.43331425064133444	0.416020044489105	0.3944813846941025	0.36799277478306697	0.3360214985723904	0.2984859563048472	0.25613015333137684	0.21084520129560855	0.16563075899700547	0.12393448093519133
5.0	5.784	173.4	0.06225	0.01059	0.2177	0.002247	31.44	3.812	0.0	NaN	0.13021582103057552	NaN	0.45831605741879816	0.466718513745597	0.4733413943776165	0.47851100816071257	0.4824935823017577	0.4855001337636588	0.48769293647123546	0.4891917421540043	0.49007893904408845	0.49040332202062376	0.49018235966979007	0.48940291453536694	0.48802037338944454	0.48595611231055935	0.4830931803186575	0.4792700578887503	0.4742723676723848	0.46782255061449607	0.45956790266852277	0.4490682492048781	0.4357863807893374	0.419087957630558	0.39826394870628934	0.37259842090495954	0.3415152234558955	0.3048370467056991	0.26315022096892887	0.2181519073142287	0.17269217309843649	0.13021582103057552
6.0	4.746	214.5	0.04993	0.00753	0.1639	0.001781	41.13	4.382	0.0	NaN	0.23747103715543838	NaN	0.46575891158010474	0.4727385947068651	0.4782533833915943	0.4825797570240933	0.4859428826744856	0.4885221790022937	0.49045755153064363	0.4918551513469573	0.4927921806748187	0.4933205856426612	0.49346961113623244	0.4932472344761947	0.49264048956432854	0.49161466406836135	0.49011131085483156	0.4880449680652002	0.4852984364461095	0.48171642871447573	0.477097406415539	0.4711835024362079	0.46364868941661974	0.4540859882550459	0.4419958794965098	0.42678081705177906	0.40775580221923086	0.3841933171191689	0.3554319316024422	0.3210848214044209	0.28136604205373156	0.23747103715543838
7.0	6.34	244.2	0.06174	0.008458	0.1824	0.002109	33.88	5.666	0.0	NaN	0.1495189976430914	NaN	0.464905240734475	0.47201585390807826	0.4775951586933223	0.4819333396176237	0.4852622289118785	0.48776289636548137	0.48957294415029906	0.4907927048274235	0.4914900557772043	0.4917037867457492	0.4914455339849469	0.4907002985313498	0.4894255349192482	0.48754874948058924	0.48496349689952334	0.4815236232737574	0.4770355967079663	0.4712488389013001	0.46384421776944734	0.45442146871332145	0.4424876336893781	0.42745126187354077	0.40863204469905756	0.38530374087577574	0.3567992135460755	0.32271382190579484	0.28322688289335957	0.23948316153933716	0.19382138220009518	0.1495189976430914
8.0	4.994	228.4	0.0544	0.01084	0.1763	0.001823	37.03	7.89	0.0	NaN	0.17563944324507022	NaN	0.47003131185296454	0.4760975046515889	0.48085669494889444	0.48455659974493154	0.4873947652300872	0.48952531182840714	0.491065240778891	0.49209972677658226	0.49268619941391784	0.49285717792982053	0.49262187599036705	0.4919665904680844	0.4908538578753495	0.4892203183298774	0.4869731781997708	0.48398511746197703	0.48008746082555254	0.4750614525403938	0.4686276052185263	0.4604334577404959	0.450040919383069	0.4369161443727407	0.42042832362794946	0.399869928691256	0.3745204893374088	0.3437868658320066	0.3074543003911385	0.26604628444417044	0.2211800590198182	0.17563944324507022
9.0	4.385	232.1	0.04786	0.00875	0.2153	0.001908	43.48	7.549	0.0	NaN	0.17006197921185304	NaN	0.47282872665694575	0.4782956675961066	0.48258044018041585	0.4859043300611076	0.4884436096331108	0.4903353525857197	0.49168288821162504	0.49256036102575074	0.4930161984797641	0.4930754352622553	0.49274089015489314	0.49199318864526437	0.490789595898037	0.48906158310227266	0.4867110039370554	0.48360471599815946	0.4795674604427632	0.4743728445228526	0.4677324236797718	0.45928328849372524	0.44857549031271093	0.43506256851947406	0.4181021644584236	0.396980265254705	0.3709825518486516	0.3395468826651258	0.30252950793973177	0.260573825834936	0.21544884117149848	0.17006197921185304
