mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.4217	2.3714	0.0133	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.48098208713516805	0.4850071823544965	0.4881819114421054	0.49068517757666813	0.4926586165174715	0.4942141743292923	0.495440238480433	0.4964065493092896	0.49716811063746547	0.4977682917993106	0.49824128249870664	0.4986140326374532	0.4989077837241958	0.49913927712594175	0.4993217069825422	0.4994654715528025	0.4995787655307658	0.4996680469392859	0.4997384051319232	0.4997938508338181	0.49983754472935454	0.4998719776127686	0.4998991123625497	0.4999204958283813	0.49993734700590303	0.49995062652407607	0.49996109140541706	0.49996933822022355	0.4999758370944394	0.49998095850962243
0.075	0.0133	0.075	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4928068823280978	0.49432222754525557	0.4955199740250709	0.4964660419566255	0.4972129277587754	0.49780233175005	0.498267316290263	0.4986340582588155	0.4989232609879955	0.4991512855110087	0.4993310532750176	0.49947276435287663	0.49958446759736136	0.49967251250376205	0.49974190686763564	0.4997965996017094	0.4998397042042469	0.49987367523057746	0.49990044758821095	0.4999215464486449	0.49993817395018186	0.49995127757774704	0.4999616040828928	0.4999697419960019	0.49997615514075505	0.49998120905314186	0.4999851918057054	0.4999883304212267	0.4999908038092829	0.4999927529620934
74.9894	13.3352	74.9894	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.2727922665395138	0.31350295130549166	0.348996402605075	0.3788903268331549	0.40348073650660043	0.4233954323624272	0.43936169717258217	0.4520804502653677	0.4621712684626419	0.47015681650314456	0.47646629577957456	0.48144656050532436	0.4853752140577319	0.488473122655621	0.49091537205555524	0.4928404447688373	0.4943577198602355	0.49555351480052456	0.4964959113495849	0.49723859026329337	0.49782386874464335	0.49828510169900514	0.49864857775733445	0.4989350152521096	0.4991607420077822	0.499338625506711	0.4994788061169616	0.499589275013879	0.49967632966052716	0.4997449327722642
2.3714	0.4217	0.0024	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4987013687385116	0.49897634009093017	0.4991931361660979	0.49936404707027465	0.4994987733824764	0.49960496911918784	0.4996886718784718	0.4997546432045242	0.49980663766670713	0.4998476154348871	0.49987991012492994	0.49990536127053586	0.49992541884211694	0.49994122568993593	0.4999536825610024	0.49996349936513784	0.4999712355935284	0.49997733218175494	0.49998213662648455	0.4999859227829935	0.4999889064692341	0.4999912577643011	0.49999311070123503	0.49999457090600113	0.4999957216178759	0.49999662843390186	0.4999973430480246	0.4999979061977301	0.4999983499862001	0.4999986997123246
0.0024	421.6965	2.3714	0.6	0.001	3.2903445623126686	0.0006331652586466936	0.010826367338740546	0.0	0.0	0.0	71.18317076734168	0.0032754564748952632	0.002067008770519069	0.001333574416165905	0.0009073797306161679	0.0006905526590963179	0.0006331652586466936	0.000721900435522869	0.0009769289048816633	0.0014562334963824461	0.002268055898393929	0.0035934373140948323	0.005721771398321351	0.009101993303005871	0.01440813367797843	0.022605640688497426	0.03497734044360324	0.05302454127807176	0.07813008951091757	0.1109454565446368	0.15072616474268116	0.19512386069954712	0.2407867704535853	0.28445468211337593	0.3238222577685544	0.3577770853659389	0.38616262180365135	0.409396388463234	0.42815164452437704	0.4431572886533205	0.4550951864794191
0.0037	0.6494	0.6494	0.03333333333333333	0.001	0.001	0.08681384685911941	0.001	0.0	0.0	0.0	0.0770090482885294	0.08681384685911941	0.12049268506485908	0.16105125549019297	0.20572673123958	0.25101856911867393	0.29377804048262424	0.3319361537578164	0.36460445958913124	0.39177529272478806	0.4139396946346994	0.4317927230602661	0.446056798573764	0.45739494077047804	0.466378220362597	0.47348131712348673	0.47909064335767004	0.48351684010800944	0.48700773672996545	0.4897601274126377	0.49192982982741	0.49363999681286924	0.49498785616374913	0.49605011527657394	0.4968872661598157	0.4975470005282308	0.49806691213536175	0.4984766317829441	0.4987995124868354	0.49905395878541176	0.49925447494740277
3.6517	649.3816	649.3816	0.5	0.001	0.7880462815669912	0.000113053169943583	0.001	0.0	0.0	0.0	0.07212017921770149	0.000113053169943583	0.00017989250916847614	0.0002882657538279372	0.0004631237239250399	0.0007446134023475378	0.0011970777103216248	0.0019232029422444825	0.003085890918387248	0.00494117223165982	0.007885493906172826	0.012518160350623784	0.019710555472224278	0.030651500621143562	0.04679845182570371	0.06962443513456225	0.10008162901293834	0.13790773343043822	0.18122034403546722	0.2268681420743351	0.27144716488484105	0.3123042380943736	0.34797125842070076	0.3780383831839635	0.40278616841190756	0.42283619138776096	0.43891499892369207	0.45172544566322514	0.461890030490349	0.46993445955168806	0.4762907101732125
115.4782	0.0205	0.0205	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4998985184778982	0.4999200222099887	0.49993697028931666	0.49995032749093066	0.499960854410267	0.4999691506229922	0.4999756887411666	0.49998084127872305	0.49998490183964733	0.499988101825869	0.4999906236104967	0.4999926109229124	0.4999941770353438	0.49999541121576785	0.49999638381410605	0.4999971502709852	0.49999775427719834	0.49999823026373885	0.4999986053642063	0.4999989009613808	0.4999991339060506	0.4999993174774768	0.4999994621404107	0.4999995761415998	0.49999966597987094	0.4999997367766188	0.4999997925677601	0.49999983653377317	0.4999998711810375	0.49999989848469595
0.1155	20.5353	20.5353	0.26666666666666666	0.001	0.02807216203941177	0.0035403636844356014	0.001	0.0	0.0	0.0	0.07317557528946775	0.0035403636844356014	0.00559877492861033	0.008884241936791028	0.014054190787311974	0.022055065054514884	0.03415203492309051	0.05183988214995014	0.07652177273946759	0.10890902535931857	0.14834751310150368	0.19257030715898946	0.2382542206462854	0.282105954453035	0.3217544409795834	0.35602382326311405	0.3847140273624577	0.40821988366629874	0.427206686685596	0.44240367016888954	0.45449684965766357	0.4640849932564325	0.4716695959568683	0.47766073384443064	0.48238896043742197	0.48611842146935313	0.48905907521928704	0.49137726236402707	0.49320450060962834	0.49464464447958933	0.4957796402281442
0.6494	0.0037	115.4782	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4437238658749271	0.4555435993336772	0.4649129047050105	0.47232343781608027	0.4781766337124418	0.48279579712502857	0.48643914712869324	0.4893118682700194	0.49157649014120214	0.4933615040376496	0.4947683688580609	0.49587713817267254	0.4967509467586356	0.49743957182058174	0.49798225198477825	0.49840991498304493	0.49874693621472777	0.49901252607303703	0.49922182396150566	0.4993867607945274	0.4995167388684949	0.4996191677215531	0.4996998864605566	0.49976349659680314	0.4998136243470963	0.49985312734500775	0.4998842575417194	0.4999087895810122	0.49992812196541864	0.4999433567802881
