Iteration	mA	mB	mU	e0	eP	bA	bI	robustness	|CoRa<=0.1|	min(CoRA)	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0	0.003	0.0011	25.4769	0.0033	4.8351	0.8043	619.8289	0.0	NaN	1.0000000000824774	NaN	([1.0000000000824774, 1.0000000001328115, 1.0000000002138671, 1.000000000344399, 1.0000000005545993, 1.0000000008931382, 1.0000000014384058, 1.0000000023168334, 1.0000000037322456, 1.0000000060138845, 1.0000000096943222, 1.0000000156373539, 1.0000000252503736, 1.0000000408425382, 1.0000000662451884, 1.0000001079282592, 1.000000177121376, 1.0000002941521644, 1.0000004982140787, 1.0000008722152272, 1.000001616698454, 1.0000033208080297, 1.0000082884853634, 1.0000294282744375, 1.0001115728080958, 1.0002246765325469, 1.0003745221573699, 1.0006079736199835, 1.0009821056247117, 1.0015853377142465], [3.568171595657367e-5, 5.7456912285907814e-5, 9.252068408221437e-5, 0.00014898254436052603, 0.00023990093400237002, 0.0003863033645280069, 0.0006220496393493492, 0.0010016629143603309, 0.0016129397576361893, 0.00259725565023911, 0.004182262164433024, 0.006734537991599349, 0.010844370902147342, 0.01746227893961411, 0.028118845377253496, 0.04527871076542638, 0.07291059332849403, 0.11740517239953398, 0.18905312482837924, 0.30442516187040375, 0.4902045496002784, 0.7893586198481255, 1.2710772783101634, 2.0467821763437035, 3.2959503777763057, 5.307751584556606, 8.548039226280157, 13.76766774964465, 22.17759410204021, 35.73265417184786], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
1.0	0.003927	0.001352	28.72	0.003511	4.506	0.6386	448.5	0.0	NaN	1.0000000000780649	NaN	1.0000000000780649	1.0000000001257077	1.000000000202416	1.0000000003259566	1.0000000005249006	1.0000000008452963	1.0000000013613246	1.0000000021925692	1.0000000035318366	1.0000000056903509	1.0000000091711425	1.0000000147892363	1.0000000238699087	1.0000000385809453	1.0000000625017864	1.00000010163112	1.000000166258406	1.0000002746772245	1.000000461225663	1.0000007957533847	1.0000014379578797	1.0000028201686646	1.0000064424954067	1.0000197325149274	1.000083308233845	1.0002088673990355	1.000359749364244	1.0005869990407	1.0009492925567476	1.0015327792778377
2.0	0.003048	0.001235	18.45	0.003492	4.625	0.431	424.8	0.0	NaN	1.000000000314787	NaN	1.000000000314787	1.000000000506896	1.000000000816274	1.000000001314471	1.000000002116823	1.000000003409098	1.0000000054908085	1.0000000088448175	1.000000014250691	1.0000000229686783	1.0000000370409872	1.0000000597897258	1.0000000966521658	1.0000001566144483	1.0000002547572602	1.0000004170013685	1.000000689562289	1.0000011594947842	1.0000020044777904	1.0000036308869031	1.000007126694543	1.0000160779058866	1.0000449141665706	1.000135342986855	1.0002873778895978	1.000492752132847	1.000806055959839	1.0013053858699448	1.0021099156013107	1.0034123162704418
3.0	0.003015	0.001298	14.59	0.004322	3.372	0.4636	387.3	0.0	NaN	1.000000000527939	NaN	1.000000000527939	1.000000000850142	1.0000000013690136	1.0000000022046271	1.0000000035504175	1.0000000057181424	1.0000000092105628	1.0000000148385648	1.000000023912519	1.000000038553557	1.0000000622063951	1.0000001004940648	1.0000001626705444	1.0000002641632868	1.000000431217346	1.0000007098969408	1.0000011849656851	1.0000020236652478	1.0000035906879545	1.0000068005791547	1.0000144246979563	1.0000369637500952	1.0001140274259046	1.000281619981306	1.0005073245661837	1.0008383724321126	1.0013611410280634	1.0022018142499542	1.0035623560862936	1.005775539298948
4.0	0.002249	0.00194	19.47	0.00324	4.176	0.3951	391.9	0.0	NaN	1.0000000006182612	NaN	1.0000000006182612	1.000000000995601	1.0000000016032782	1.0000000025819407	1.0000000041582506	1.0000000066976502	1.00000001078943	1.0000000173853931	1.0000000280250603	1.0000000452056883	1.00000007299586	1.0000001180708344	1.0000001915053423	1.0000003119962733	1.0000005119725448	1.000000850030611	1.0000014386412424	1.0000025131037533	1.0000046273805665	1.0000093009417264	1.0000214490397603	1.0000569765557186	1.0001380827034445	1.0002587353248111	1.000433701609493	1.00070669778731	1.0011433767500222	1.0018471514786906	1.0029857441737988	1.004835064708558
5.0	0.002035	0.001463	25.75	0.003377	4.561	0.4136	391.3	0.0	NaN	1.0000000002818896	NaN	1.0000000002818896	1.0000000004539267	1.0000000007309662	1.0000000011771129	1.0000000018956439	1.0000000030529574	1.0000000049172943	1.0000000079215168	1.000000012764205	1.0000000205756872	1.0000000331893706	1.000000053592093	1.000000086684202	1.0000001405948096	1.0000002290460128	1.000000375831878	1.0000006239261539	1.0000010557408092	1.0000018433938338	1.0000033906745551	1.0000067966106783	1.0000155525680872	1.0000405226526854	1.0000962498853647	1.0001795432965916	1.0003009064820825	1.0004902819623878	1.0007929867451941	1.0012803071248222	1.0020673621791951
6.0	0.001594	0.001635	32.76	0.003582	4.864	0.436	304.1	0.0	NaN	1.0000000002320237	NaN	1.0000000002320237	1.0000000003736293	1.0000000006016654	1.0000000009688974	1.0000000015603425	1.0000000025129645	1.0000000040476003	1.0000000065206376	1.000000010507289	1.0000000169385705	1.00000002732508	1.000000044129413	1.00000007139559	1.0000001158424554	1.0000001888376087	1.0000003101594894	1.0000005156999794	1.0000008747112878	1.000001532779141	1.0000028327459078	1.0000056993950561	1.0000129177666968	1.0000317641265903	1.0000692398786561	1.0001249493132194	1.0002080451209332	1.0003385096627266	1.0005472133555744	1.0008830412775302	1.0014248150839902
7.0	0.001952	0.001583	30.51	0.002452	4.548	0.4474	303.7	0.0	NaN	1.0000000001977	NaN	1.0000000001977	1.0000000003183585	1.0000000005126564	1.0000000008255623	1.0000000013294978	1.00000000214116	1.0000000034486742	1.0000000055555975	1.0000000089517878	1.0000000144298276	1.0000000232750395	1.0000000375809408	1.0000000607809187	1.000000098567405	1.0000001605407838	1.0000002633266722	1.0000004368977062	1.0000007386000793	1.0000012879064373	1.0000023647277756	1.0000047338402682	1.0000108790094273	1.0000291469614149	1.0000726028901292	1.000137901750281	1.00023176958854	1.0003777413088155	1.0006108720820013	1.0009859528554712	1.0015911947026446
8.0	0.002119	0.0013	27.99	0.002811	4.355	0.8109	307.0	0.0	NaN	1.0000000001072564	NaN	1.0000000001072564	1.000000000172713	1.0000000002781273	1.0000000004478802	1.0000000007212662	1.0000000011616001	1.0000000018709037	1.0000000030138316	1.0000000048559816	1.0000000078270466	1.0000000126234443	1.0000000203786716	1.0000000329494325	1.0000000534084057	1.0000000869230652	1.0000001424050546	1.0000002358271587	1.0000003975262122	1.0000006902318253	1.00000126048678	1.0000025153429288	1.0000058962440592	1.0000181564059034	1.000062540371635	1.0001334861816724	1.0002263761067172	1.0003688486940387	1.0005962207144672	1.000962083028518	1.001552474807287
9.0	0.002522	0.001006	25.16	0.002498	3.464	0.8904	502.3	0.0	NaN	1.0000000000780565	NaN	1.0000000000780565	1.0000000001256861	1.0000000002023988	1.000000000325922	1.0000000005248573	1.0000000008452485	1.0000000013612984	1.0000000021926991	1.000000003532417	1.0000000056922798	1.0000000091768853	1.0000000148052774	1.0000000239134899	1.0000000386976289	1.0000000628122174	1.0000001024569596	1.00000016846901	1.0000002806772736	1.0000004779264102	1.0000008443047321	1.0000015900788133	1.0000033635880219	1.0000088828341838	1.0000339236880218	1.0001138341652789	1.0002132205914998	1.0003520107532273	1.0005704178885393	1.000920984072916	1.0014863207536258
10.0	0.003097	0.001165	25.15	0.002337	3.38	1.222	494.1	0.0	NaN	1.0000000000541658	NaN	1.0000000000541658	1.0000000000872233	1.0000000001404616	1.0000000002261853	1.0000000003642413	1.0000000005865908	1.0000000009447205	1.000000001521685	1.0000000024514046	1.0000000039502608	1.0000000063683563	1.0000000102739435	1.000000016593773	1.0000000268508082	1.0000000435783027	1.000000071071207	1.0000001168307098	1.0000001945669725	1.0000003311097374	1.0000005845265605	1.0000011004734066	1.0000023345559763	1.0000063106473096	1.0000284781691637	1.000131759652813	1.0002490133823552	1.0004089967749825	1.0006617631346009	1.0010681034485007	1.0017239168175232
11.0	0.002607	0.00136	20.79	0.002011	3.675	1.875	490.8	0.0	NaN	1.0000000000703022	NaN	1.0000000000703022	1.000000000113199	1.0000000001822962	1.0000000002935618	1.0000000004727636	1.0000000007614103	1.0000000012264543	1.0000000019758368	1.0000000031840481	1.0000000051334677	1.0000000082826246	1.0000000133799047	1.0000000216565306	1.0000000351644143	1.0000000573924392	1.0000000944618506	1.0000001576388853	1.0000002692050578	1.000000478162248	1.0000009105239729	1.0000019773854603	1.0000056662381978	1.000030631365984	1.0001478729321982	1.0002663775123466	1.000434733775317	1.000702519374464	1.0011335678767281	1.0018295922637528	1.0029562940997958
