Iteration	mU	mW	eP	gU	gW	e0	eM	robustness	|CoRa<=0.1|	min(CoRA)	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0	4.5733	19.4865	4.2859	0.2948	0.0019	0.1866	0.0196	0.36666666666666664	2.0689655172413794	0.016903364200519147	41.39530592805951	([0.9612652951514868, 0.9390677902030993, 0.9054019203626229, 0.8559886816154109, 0.7868431017774178, 0.6962817895771185, 0.5874272487729111, 0.4693102338507287, 0.3545638010872677, 0.25447858599165285, 0.17508792408839396, 0.11677079544828642, 0.07639040945961616, 0.049701669410336956, 0.03283770787277233, 0.022879108984845107, 0.017911508939689687, 0.016903364200519147, 0.01957100468697361, 0.026277202914678995, 0.0379301598156615, 0.05578813548728456, 0.08104675459529864, 0.11417520737809317, 0.154244552238145, 0.19876131086100654, 0.24431703487647718, 0.2876859313472294, 0.32664355757847136, 0.36015645608613867], [1.5599684917111618, 2.4552704414270603, 3.8149965049061407, 5.814823302413199, 8.62143270912421, 12.31183708587522, 16.769731243157263, 21.634640895324587, 26.389284503898757, 30.561263469139774, 33.8905674656654, 36.35376514255341, 38.079318847430905, 39.24803157448707, 40.03092700371332, 40.56640115646127, 40.96047771440131, 41.29659686370752, 41.64810971524091, 42.09126897395217, 42.718520249625605, 43.65206948197397, 45.05664362766056, 47.14891953460425, 50.2011013256795, 54.539538648327095, 60.54475615979773, 68.66129076439937, 79.42150617315596, 93.48187422524208], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
1.0	3.68	18.92	4.354	0.3901	0.001776	0.142	0.02337	0.36666666666666664	2.0689655172413794	0.01806502260055845	59.16920109161938	0.9729040611182532	0.9570784238926141	0.9326497633024441	0.8958314045863341	0.8422902690978172	0.7683484979364558	0.6731953244027674	0.5612844615036849	0.44279148595421214	0.3305084795676433	0.23477650442490533	0.1602697570640322	0.10635295382398714	0.06946120406423224	0.0453520283135553	0.030361026899273724	0.021822079375019544	0.01806502260055845	0.01828444716178448	0.02241231186414276	0.031014585727109426	0.04515435830548869	0.06610757751470084	0.09482649344083996	0.1312182673537744	0.17362825259740372	0.21903134923713322	0.26396362057668477	0.305576888928067	0.34218458569068977
2.0	4.285	17.89	4.691	0.4805	0.001415	0.1359	0.02916	0.36666666666666664	2.0689655172413794	0.018569188007575104	50.37275840588964	0.9694581103284186	0.9517197608805272	0.9244820082691907	0.883755394639106	0.8252190209409048	0.7456914348655549	0.6455282311979105	0.5307533541136724	0.4126558591250279	0.30387161379246885	0.213440306436524	0.14450558134794642	0.0954254174939071	0.0622865200363213	0.040926896541661005	0.027940496109078842	0.020953175397064722	0.018569188007575104	0.02023604122262286	0.026122990152199856	0.03700397576402153	0.054060957269782786	0.07848481524001102	0.11082286060760767	0.15028316134122288	0.19449574967890973	0.2400876227713352	0.2837683188179533	0.3231988530381187	0.3572386617162159
3.0	4.202	19.28	3.776	0.4003	0.001158	0.1032	0.03581	0.36666666666666664	2.0689655172413794	0.018440413292152083	40.5198005072126	0.9580963130336029	0.9342071526643415	0.8981471900062618	0.8455911675021527	0.7727795205667074	0.6786853171262377	0.5674465422734797	0.44898409074744433	0.33607785558973313	0.23930890162358073	0.16367015654844738	0.1087547468785372	0.07109070712441962	0.046434506413231734	0.03108109136256138	0.022318548519382198	0.018440413292152083	0.01861792634671178	0.022771283025692	0.031462597238643614	0.04575292253498266	0.06690885404748302	0.09585608441189056	0.13245565147935534	0.17500147136486785	0.22043718726752645	0.26530264712185764	0.30678003737281423	0.3432196527844945	0.3740745992464756
4.0	3.765	17.47	6.093	0.3816	0.001057	0.1014	0.0325	0.4	2.2758620689655173	0.014623489857438932	41.962421970944355	0.962995482471801	0.94172931345931	0.9093919131428173	0.8617441823301606	0.7946983213872414	0.7062262559443503	0.5988781706729848	0.4811347681379246	0.36547068111847864	0.26353109234746763	0.1819473035664313	0.12158194312649319	0.07951935822958872	0.051522232341101905	0.03361946204689996	0.022744264725185374	0.016817401423583966	0.014623489857438932	0.01566560387232735	0.020062828623344058	0.028483209212687082	0.04205035099837777	0.06211322208509587	0.08976604207296104	0.12514855248859816	0.16686987325585706	0.21207735765041746	0.257307102120802	0.2995713175328615	0.33700228804450844
5.0	3.765	17.47	6.093	0.3816	0.001057	0.1014	0.0325	0.4	2.2758620689655173	0.014623489857438932	41.962421970944355	0.962995482471801	0.94172931345931	0.9093919131428173	0.8617441823301606	0.7946983213872414	0.7062262559443503	0.5988781706729848	0.4811347681379246	0.36547068111847864	0.26353109234746763	0.1819473035664313	0.12158194312649319	0.07951935822958872	0.051522232341101905	0.03361946204689996	0.022744264725185374	0.016817401423583966	0.014623489857438932	0.01566560387232735	0.020062828623344058	0.028483209212687082	0.04205035099837777	0.06211322208509587	0.08976604207296104	0.12514855248859816	0.16686987325585706	0.21207735765041746	0.257307102120802	0.2995713175328615	0.33700228804450844
6.0	5.242	19.51	5.34	0.361	0.001	0.08327	0.02502	0.4	2.2758620689655173	0.014086777391194301	38.79720044526807	0.9551626623733771	0.9297236226403183	0.891491506073259	0.8361272020305827	0.7601174712936505	0.6630628940910724	0.5499952215309931	0.43152857579212966	0.32043563991758717	0.22659223477167229	0.15408884957116495	0.10188085915352124	0.06623169382237798	0.042879552874674945	0.028189693357782368	0.019506215451890806	0.015113512566271232	0.014086777391194301	0.016159610756232342	0.021641211104343503	0.03135712057867456	0.046537220364815085	0.06853219103778734	0.09826472120666051	0.1355166322650952	0.17847581921297628	0.22402588329051196	0.26873210111346485	0.3098648709855601	0.3458743656812873
7.0	4.792	20.59	6.739	0.5186	0.001	0.08739	0.03723	0.4	2.2758620689655173	0.014223942842790402	47.40281556067942	0.961235630692148	0.939022141867163	0.9053334377471332	0.8558897431882722	0.7867076077117804	0.6961089604937317	0.5872249148836038	0.4690936732296544	0.35434830962439257	0.2542699186289119	0.17487657837400045	0.11653078611166749	0.07607829374164556	0.049251623501326405	0.0321503080370455	0.02180218775014077	0.016211211839319364	0.014223942842790402	0.015385399653186136	0.019841096260146185	0.02827475743698836	0.0418194907829733	0.06183232447033515	0.08941871372607338	0.12473507614423111	0.16640939307639702	0.21160204427651477	0.25685040535106973	0.2991579194456531	0.3366446621262037
8.0	3.718	14.94	5.438	0.4714	0.001	0.09114	0.0328	0.36666666666666664	2.0689655172413794	0.017868612447713345	43.98520295419055	0.969743584698373	0.952162837771631	0.9251553532704341	0.8847465034752758	0.8266110647786334	0.7475225588812715	0.647738717007856	0.5331595550275433	0.41499538965133903	0.30590662309025873	0.21504057227389647	0.1456565668795932	0.0961819134245641	0.06272011817483432	0.04109180991115779	0.027856736936843176	0.02059784605506657	0.017868612447713345	0.019056080709018236	0.02426050310925723	0.034190274788828814	0.049997635856428295	0.0729338215919843	0.10374463072802236	0.14195214995401637	0.18548433488464416	0.2310897685939211	0.27537768949655456	0.3157813456660899	0.35093125950414006
9.0	4.76	16.45	5.17	0.512	0.001113	0.113	0.02854	0.36666666666666664	2.0689655172413794	0.01829817663118019	45.47016863959413	0.9680441980099115	0.9495274297296902	0.9211553423274611	0.878869792216425	0.8183789340852388	0.7367321875915966	0.6347690841770209	0.519106765104082	0.40138624957203295	0.2940899016633223	0.205718239639995	0.13885356160704895	0.0915163075979793	0.05969372396312013	0.03926533208035974	0.026916901165650504	0.020367350403959237	0.01829817663118019	0.020216874308281372	0.026338593768890882	0.037470750138476054	0.054813197585612136	0.0795510073663281	0.11219536862949317	0.15189585803009376	0.19622976995334732	0.24180720869820382	0.28536211928527705	0.3246011414146598	0.3584270373540117
10.0	4.375	18.64	5.165	0.363	0.001	0.1277	0.0237	0.4	2.2758620689655173	0.015285809974489282	46.123770489822796	0.9638185099978576	0.9429973356272169	0.911297359673195	0.864502382461539	0.7984814046800687	0.711047111519232	0.6044746423023921	0.4869679752299598	0.3709063564487256	0.2680953085484393	0.18546126937953167	0.12411834027713442	0.08127797182475414	0.05272694571350143	0.03446812842771689	0.023398508115385623	0.017412505877006563	0.015285809974489282	0.016531688977361604	0.021296833988185642	0.030286988519130486	0.044654717631483425	0.06573376514797605	0.09451570936447222	0.13093666110597046	0.17336344374445364	0.21878432833641262	0.26374035107084814	0.3053822966953837	0.34202024886524796
11.0	4.028	18.83	5.75	0.3848	0.001	0.1781	0.0239	0.4	2.2758620689655173	0.015606849113227312	52.977066551012506	0.9682022335715139	0.9497722336972544	0.9215262502896469	0.8794132534794166	0.8191371574369161	0.7377202277501279	0.6359467642458495	0.52036744701631	0.4025844235902356	0.2950960265837852	0.20645770947957093	0.13930414912425124	0.09167766020377838	0.059553128255506044	0.03876968918551189	0.025947624679176204	0.018710926742467097	0.015606849113227312	0.015959280058738607	0.01975192529011137	0.027549408472252165	0.04040327876532956	0.05963732727303971	0.0863938725850929	0.12094513024462802	0.1620757615188161	0.2070608313778777	0.2524460443291928	0.2951468842221743	0.3331608921897491
12.0	5.11	27.81	6.159	0.3781	0.001028	0.2005	0.01997	0.43333333333333335	2.4827586206896552	0.012632360459382933	68.66840272890319	0.9638090440476068	0.9429826909856204	0.9112752036479358	0.8644699507885025	0.79843608534323	0.7109874994172984	0.6044015083637662	0.4868838786891677	0.37081302876861905	0.26798975580219575	0.1853324220482793	0.12394449614750172	0.08102335300215212	0.052335248137886946	0.03385117637800432	0.022417941706895185	0.015851824943705097	0.012809852520154782	0.012632360459382933	0.015230949306839981	0.02103006850097278	0.0309282332872247	0.0462014994774037	0.06823145135547892	0.09796467557271069	0.13520412571048265	0.17815528667596778	0.22371205496768715	0.26844099657203796	0.309607553310212
13.0	5.05	50.95	6.023	0.4542	0.001229	0.1745	0.01629	0.43333333333333335	2.4827586206896552	0.009766304701591684	170.71881343625034	0.9736616269488162	0.9582593853367741	0.9344566221080395	0.8985180170556669	0.8461193027682211	0.7734870567773983	0.6795578118037304	0.5684151424746641	0.4499330465224471	0.33688144740267284	0.23986961206856894	0.16392636031427155	0.10865624048137883	0.07056015819006078	0.04532614449640334	0.029134073983092482	0.019094883540866848	0.013235768239311782	0.01033641834188147	0.009766304701591684	0.01137577319570967	0.01544683110123992	0.02268382466280871	0.03419609837190462	0.05138399316238808	0.0756088442766724	0.10758974956897825	0.14671652527841766	0.19076947291860757	0.2364402099549618
14.0	5.05	50.95	6.023	0.4542	0.001229	0.1745	0.01629	0.43333333333333335	2.4827586206896552	0.009766304701591684	170.71881343625034	0.9736616269488162	0.9582593853367741	0.9344566221080395	0.8985180170556669	0.8461193027682211	0.7734870567773983	0.6795578118037304	0.5684151424746641	0.4499330465224471	0.33688144740267284	0.23986961206856894	0.16392636031427155	0.10865624048137883	0.07056015819006078	0.04532614449640334	0.029134073983092482	0.019094883540866848	0.013235768239311782	0.01033641834188147	0.009766304701591684	0.01137577319570967	0.01544683110123992	0.02268382466280871	0.03419609837190462	0.05138399316238808	0.0756088442766724	0.10758974956897825	0.14671652527841766	0.19076947291860757	0.2364402099549618
15.0	4.556	38.88	5.186	0.357	0.001289	0.2654	0.01823	0.43333333333333335	2.4827586206896552	0.01194894381504806	106.21748849174422	0.9681149261987596	0.9496369073884293	0.9213210067453045	0.879112020737786	0.81871568820748	0.7371682907232951	0.6352829967527412	0.5196447842940476	0.4018739384548647	0.2944551575700388	0.20590593882562214	0.13881948147570575	0.09120547231623381	0.05901252826118703	0.03804945565055687	0.024889941459333067	0.017082223019629098	0.01305391278549726	0.01194894381504806	0.013497785786563826	0.017945020362823572	0.026014849674727315	0.0388560972013638	0.05786373942343149	0.08425895148405045	0.11842068075049628	0.15925543760284544	0.2041294085549615	0.24960855840918605	0.29256217712588645
16.0	2.459	42.65	5.533	0.388	0.001707	0.1811	0.0127	0.43333333333333335	2.4827586206896552	0.01074376276118435	282.34931487319204	0.987099478169155	0.9793890839275324	0.9672233930222296	0.9482563199225313	0.9192302029985625	0.8760504071137327	0.8144471792973774	0.7316087604815372	0.6286531472503379	0.5125240913859556	0.39503645408192056	0.2885573573862835	0.20126498932023093	0.13541452528386172	0.08881775645601762	0.057365085877102026	0.03688463508231943	0.02399121241343947	0.016264731729596974	0.012141244580425892	0.01074376276118435	0.011748702534271209	0.015312188084960108	0.022043306726529443	0.03298011365175988	0.04948322182991951	0.07292736875702256	0.10411931724307362	0.14259890074199652	0.18629303954460583
17.0	3.22	44.44	5.75	0.3025	0.001628	0.1607	0.01129	0.4666666666666667	2.689655172413793	0.009501168748327623	188.35295989034003	0.9798105604706124	0.9678854826779903	0.9492814354192299	0.9207822788826355	0.878322279982308	0.8176128367704367	0.735728528279389	0.633560467471059	0.5177863368400212	0.40007743389426165	0.2928880779507457	0.2046457372500755	0.1378511106899028	0.09045480617486325	0.05837875319325878	0.03741901358739115	0.02413209285612961	0.016030574401472993	0.011475752947269926	0.009501168748327623	0.009667544593156609	0.011977777074574082	0.01684746313374179	0.025104371513790556	0.03795987612602432	0.05685315879579629	0.08305163886422964	0.11699523854221178	0.1576603857843135	0.2024669174531009
