mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.1	3.2903445623126686	8.531678524172808	0.03995580430749843	5.298316906283709	0.0	0.0	0.0	0.9906699553064856	0.9999165760796713	0.9998655359791077	0.9997831409530519	0.9996499245966763	0.9994340067887416	0.9990826487966942	0.99850721028049	0.9975549840400689	0.9959527606394067	0.9931833474129611	0.9881840260838632	0.9785040304341728	0.9575330652389935	0.9036437365135287	0.739350328941292	0.38121473562929087	0.13992051603247208	0.061646182271136746	0.03995580430749843	0.06601828747263258	0.5986587846396413	0.9625118199103546	0.9895512765753167	0.9955772844270186	0.9977680957291675	0.9987697838450754	0.9992882220729619	0.9995764834139982	0.9997437721213436	0.9998434136006363
31.6228	0.0316	0.0316	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.865828953495901	0.7997796518664289	0.718178685834178	0.6388189580783606	0.595807737298393	0.6207274089082945	0.7064602692987266	0.8047914999624978	0.8797035965737346	0.9274522749111136	0.956198054414016	0.973371211251681	0.9837035008273272	0.9899766086120311	0.9938136844444831	0.9961732175013395	0.9976293494156357	0.9985300526933691	0.9990880149600027	0.9994339808082812	0.9996486233842314	0.9997818396878377	0.9998645382428182	0.9999158834736623	0.9999477651127129	0.999967562368842	0.9999798561130046	0.9999874904713264	0.999992231434943	0.9999951756142471
0.0316	31.6228	31.6228	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9999999967838825	0.9999999948212045	0.9999999916607653	0.9999999865715943	0.9999999783766483	0.999999965180444	0.9999999439306567	0.9999999097117301	0.999999854607214	0.9999997658665258	0.9999996229500652	0.999999392763432	0.9999990219633732	0.9999984245168263	0.9999974615337023	0.9999959084437382	0.9999934012338685	0.999989347498653	0.9999827769556728	0.9999720841507447	0.999954569547002	0.9999255779914237	0.9998767628025854	0.9997922440087831	0.9996390059885197	0.9993387345699767	0.998664507375866	0.9967014278297291	0.9861703598866024	0.45567208637899514
0.1778	0.1778	5.6234	0.03333333333333333	8.531678524172808	8.531678524172808	0.08730281168237103	8.531678524172808	0.0	0.0	0.0	0.9752656701471807	0.9997786203635998	0.9996433917469766	0.9994254326972183	0.9990739285412442	0.99850653273331	0.9975892932356146	0.9961030054230384	0.9936856032410165	0.9897305299688044	0.9832002960646787	0.9722685556126802	0.9536041649889142	0.9209274698023061	0.8624147203329138	0.7586305330642001	0.5939253413755142	0.39694071150980015	0.2355961220101067	0.13601484129416128	0.08730281168237103	0.7126691850930129	0.9926475994436598	0.9980912183426326	0.9992044884601722	0.999600806206604	0.9997805341777105	0.9998731917454141	0.9999246038774048	0.999954405078156	0.9999721431648462
177.8279	177.8279	0.0056	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9999994233122068	0.999999070230993	0.9999984998377389	0.9999975765610166	0.9999960773153947	0.9999936302408768	0.9999896027590064	0.9999828841787844	0.9999714273233989	0.9999511722897335	0.9999131402118036	0.9998339534580754	0.9996349248529626	0.9988934694057715	0.9890865096591359	0.19023686525805836	0.24403556731544582	0.3121316864707419	0.38502582587552464	0.4600011449988844	0.5355535616126562	0.6106497329626319	0.6838951791388113	0.7530017412248431	0.8149990265255592	0.8672018448288183	0.9082816524654138	0.9386377197035503	0.9599280973728704	0.9742792716361653
5.6234	0.0056	177.8279	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9576204114946711	0.9330718326610105	0.8955383684642513	0.8399500959658864	0.7616694344673329	0.6607633584738223	0.9991947922957379	0.9998925636125234	0.9999624565873514	0.9999825277032987	0.9999907559169882	0.9999947712311221	0.9999969293433651	0.999998156699894	0.9999988788315748	0.9999993125925224	0.9999995764714967	0.9999997382662783	0.999999837951426	0.9999998995543272	0.9999999376943534	0.9999999613351859	0.9999999759993039	0.9999999850993249	0.9999999907480317	0.9999999942549936	0.9999999964324966	0.9999999977846021	0.9999999986242335	0.9999999991456409
0.0056	5.6234	0.1778	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9999999825383621	0.9999999718821596	0.9999999547228218	0.9999999270916665	0.9999998825979166	0.9999998109503255	0.999999695576614	0.9999995097885167	0.999999210604959	0.9999987287994619	0.9999979528585378	0.999996703110682	0.9999946899637993	0.999991446388001	0.9999862184974496	0.9999777875434789	0.9999641785463432	0.9999421787471873	0.9999065296865195	0.9998485401317982	0.9997536214457692	0.9995966858754642	0.9993329454145052	0.9988777632250136	0.9980570347610124	0.9964648459248224	0.9929603738446117	0.9832341248471335	0.9396280005249524	0.5199193619159197
0.0133	0.075	421.6965	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9999598112158656	0.9999352845006796	0.9998957884281909	0.9998321851662321	0.9997297562711355	0.9995647904745849	0.9992990786991532	0.9988710227167882	0.9981812487555344	0.9970692655584398	0.9952754330967731	0.9923786192958246	0.9876931615294265	0.9800969650773971	0.9677429359280127	0.9475796216917048	0.9146064328036904	0.8609945193284152	0.776259549611671	0.6524310119008863	0.4977851054211335	0.3436557488344245	0.2209390020138734	0.13756620702459205	0.9994134048166003	0.9999451086552256	0.999982080728768	0.9999918806209852	0.999995760282317	0.999997618931343
13.3352	74.9894	0.4217	0.13333333333333333	8.531678524172808	35.62247890262442	0.009053917336249762	13.73823795883263	0.0	0.0	0.0	5.667207306832642	0.9999997576020967	0.9999996095901625	0.9999993711155434	0.9999989867543486	0.999998366911521	0.9999973664097758	0.9999957491142621	0.9999931286088464	0.9999888664162448	0.999981891321487	0.9999703624416741	0.9999509964537149	0.9999175960944726	0.9998574273234531	0.9997408035355225	0.9994839477626131	0.9987638715619128	0.9952511208968036	0.7609809157185266	0.011043272511751911	0.009053917336249762	0.016546495619644493	0.043328806986142505	0.19565236324274282	0.7781956487774095	0.9532797887689491	0.9831068406970948	0.9921130365190601	0.9958305426392009	0.9976442162344782
421.6965	0.0024	13.3352	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.9999239555280874	0.9999555358984538	0.9999733774794841	0.9999838324938305	0.9999900969221118	0.9999939020675014	0.9999962329477431	0.9999976682101057	0.9999985548436015	0.9999991036585564	0.9999994437900565	0.9999996547511393	0.9999997856589493	0.9999998669153773	0.999999917361764	0.9999999486839413	0.9999999681332704	0.9999999802107841	0.9999999877107688	0.9999999923682656	0.9999999952605895	0.9999999970567611	0.999999998172201	0.999999998864904	0.9999999992950874	0.999999999562236	0.9999999997281529	0.9999999998311662	0.999999999895149	0.9999999999348859
