Iteration	mA	kD	mB	mU	e0	eP	bA	bI	robustness	|CoRa<=0.1|	min(CoRA)	SS	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0	0.2056	0.3424	0.0023	0.1154	0.3467	0.1113	1.5677	12.9602	0.23333333333333334	1.2413793103448276	0.04585529016341358	138.4490264005056	([0.9999768951839879, 0.9999627414914938, 0.9999398644198634, 0.9999028023582396, 0.9998425368982551, 0.9997439532926454, 0.9995811223063735, 0.9993079332299576, 0.998837788796257, 0.9979943248418146, 0.9963731196651018, 0.9928703489614032, 0.9835554555419876, 0.9468487952731159, 0.7086454417959677, 0.33916008786766705, 0.20802691748232474, 0.13633913548158422, 0.09129743688860445, 0.06403188807097737, 0.049803156586016493, 0.04585529016341358, 0.050877833601587194, 0.06450168752371649, 0.08660834151536377, 0.11649778017229495, 0.1522498775254452, 0.1907567444252782, 0.22851528392343406, 0.2626311374505688], [0.10490672854015902, 0.1689249956777367, 0.27200746458682973, 0.43798758026241896, 0.7052338376590102, 1.1355043226459323, 1.8281787379286245, 2.943104078322429, 4.737178944102797, 7.622655575097471, 12.259039887179531, 19.69369503609998, 31.55414544147191, 50.131413277657785, 76.03343056909502, 97.15188142571084, 110.58718628434549, 120.08999651973488, 126.81605350281585, 131.60616288553172, 135.21015577065415, 138.28862320555262, 141.4465081044973, 145.2905880727396, 150.48509326174786, 157.78548973939087, 168.04027672374588, 182.16804695033613, 201.13414434974484, 225.9505369344129], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
1.0	0.2056	0.3424	0.0023	0.1154	0.3467	0.1113	1.5677	12.9602	0.23333333333333334	1.2413793103448276	0.04585529016341358	138.4490264005056	0.9999768951839879	0.9999627414914938	0.9999398644198634	0.9999028023582396	0.9998425368982551	0.9997439532926454	0.9995811223063735	0.9993079332299576	0.998837788796257	0.9979943248418146	0.9963731196651018	0.9928703489614032	0.9835554555419876	0.9468487952731159	0.7086454417959677	0.33916008786766705	0.20802691748232474	0.13633913548158422	0.09129743688860445	0.06403188807097737	0.049803156586016493	0.04585529016341358	0.050877833601587194	0.06450168752371649	0.08660834151536377	0.11649778017229495	0.1522498775254452	0.1907567444252782	0.22851528392343406	0.2626311374505688
2.0	0.244	0.5623	0.003525	0.1386	0.4222	0.1005	1.79	11.41	0.23333333333333334	1.2413793103448276	0.04887360834981439	108.02028448197116	0.9999682757962605	0.9999488008410952	0.9999172568072782	0.9998659808555277	0.9997821468124752	0.9996437957482409	0.999411997155799	0.9990139716966155	0.998302474929374	0.9969430107194217	0.9940345374820073	0.9864268360846962	0.957152226703632	0.7519699508588537	0.35257193117609054	0.21537070389444257	0.14174465742802778	0.09534290654771599	0.06722702664148117	0.05266202937261796	0.04887360834981439	0.054528957922569996	0.06921496850776643	0.09270493818059626	0.12410184678303311	0.16124217030425766	0.20082982848861583	0.239302692832307	0.27381785859701147	0.30274728939786155
3.0	0.2719	0.7157	0.003577	0.192	0.3022	0.1049	1.714	8.961	0.26666666666666666	1.4482758620689653	0.041014762038688	130.42877969489268	0.9999781197711792	0.9999646658183314	0.9999428386610737	0.9999072645584068	0.9998488550353875	0.9997517969117782	0.9995873526929648	0.9992997576962008	0.9987697662247067	0.9977031818871452	0.9951989781145834	0.9873178974676532	0.9399529706786169	0.5257230375514154	0.2979442971409852	0.19995375315305897	0.13414431305649013	0.09002685218206499	0.062243810825353005	0.04679253335162419	0.041014762038688	0.04355219753453932	0.05407093726697455	0.0727594492454121	0.09959774048349646	0.1335698042265897	0.1722686050927368	0.2122911131134171	0.2502328044802971	0.28359053140662105
4.0	0.2719	0.7157	0.003577	0.192	0.3022	0.1049	1.714	8.961	0.26666666666666666	1.4482758620689653	0.041014762038688	130.42877969489268	0.9999781197711792	0.9999646658183314	0.9999428386610737	0.9999072645584068	0.9998488550353875	0.9997517969117782	0.9995873526929648	0.9992997576962008	0.9987697662247067	0.9977031818871452	0.9951989781145834	0.9873178974676532	0.9399529706786169	0.5257230375514154	0.2979442971409852	0.19995375315305897	0.13414431305649013	0.09002685218206499	0.062243810825353005	0.04679253335162419	0.041014762038688	0.04355219753453932	0.05407093726697455	0.0727594492454121	0.09959774048349646	0.1335698042265897	0.1722686050927368	0.2122911131134171	0.2502328044802971	0.28359053140662105
5.0	0.2719	0.7157	0.003577	0.192	0.3022	0.1049	1.714	8.961	0.26666666666666666	1.4482758620689653	0.041014762038688	130.42877969489268	0.9999781197711792	0.9999646658183314	0.9999428386610737	0.9999072645584068	0.9998488550353875	0.9997517969117782	0.9995873526929648	0.9992997576962008	0.9987697662247067	0.9977031818871452	0.9951989781145834	0.9873178974676532	0.9399529706786169	0.5257230375514154	0.2979442971409852	0.19995375315305897	0.13414431305649013	0.09002685218206499	0.062243810825353005	0.04679253335162419	0.041014762038688	0.04355219753453932	0.05407093726697455	0.0727594492454121	0.09959774048349646	0.1335698042265897	0.1722686050927368	0.2122911131134171	0.2502328044802971	0.28359053140662105
6.0	0.2719	0.7157	0.003577	0.192	0.3022	0.1049	1.714	8.961	0.26666666666666666	1.4482758620689653	0.041014762038688	130.42877969489268	0.9999781197711792	0.9999646658183314	0.9999428386610737	0.9999072645584068	0.9998488550353875	0.9997517969117782	0.9995873526929648	0.9992997576962008	0.9987697662247067	0.9977031818871452	0.9951989781145834	0.9873178974676532	0.9399529706786169	0.5257230375514154	0.2979442971409852	0.19995375315305897	0.13414431305649013	0.09002685218206499	0.062243810825353005	0.04679253335162419	0.041014762038688	0.04355219753453932	0.05407093726697455	0.0727594492454121	0.09959774048349646	0.1335698042265897	0.1722686050927368	0.2122911131134171	0.2502328044802971	0.28359053140662105
7.0	0.3351	0.6994	0.003542	0.2392	0.2653	0.07042	1.432	9.858	0.26666666666666666	1.4482758620689653	0.03358847918509474	160.95851796620676	0.9999812960656426	0.9999697953676889	0.9999511373731015	0.9999207291026969	0.9998708031348343	0.9997878459881733	0.9996473011274164	0.9994015147697206	0.9989485447212685	0.998036557511474	0.995891512872919	0.9890938587834893	0.946629808921853	0.518455694920536	0.29657755492850985	0.19979959324322627	0.1337061062596364	0.08881606790508656	0.05987061502279711	0.042736129313312124	0.03451932773131255	0.03358847918509474	0.039409779386262306	0.0522512263325679	0.07270846717495894	0.10100970550845866	0.13626479678069447	0.17611478138807107	0.21717348820790172	0.25604998390609557
8.0	0.3446	0.6648	0.003448	0.1925	0.204	0.06422	1.478	9.864	0.3	1.6551724137931034	0.03192398111106381	156.02767481151278	0.9999866807755046	0.9999785055039432	0.9999652657060971	0.9999437488318603	0.9999085823988988	0.9998505807628049	0.9997534906568601	0.9995870091275237	0.999290037283726	0.9987242733457147	0.9975178362853663	0.9943606998385914	0.981758427569688	0.8389134603490495	0.33098959179423265	0.2079256515834351	0.13771362114223365	0.09104200705718637	0.060943288306005594	0.042897309119893944	0.03381761105520265	0.03192398111106381	0.03656069197600885	0.04792429474494511	0.06664470085747408	0.09314789285843435	0.12689334215007167	0.16588418561032775	0.2069126357318048	0.24650030340379497
9.0	0.3446	0.6648	0.003448	0.1925	0.204	0.06422	1.478	9.864	0.3	1.6551724137931034	0.03192398111106381	156.02767481151278	0.9999866807755046	0.9999785055039432	0.9999652657060971	0.9999437488318603	0.9999085823988988	0.9998505807628049	0.9997534906568601	0.9995870091275237	0.999290037283726	0.9987242733457147	0.9975178362853663	0.9943606998385914	0.981758427569688	0.8389134603490495	0.33098959179423265	0.2079256515834351	0.13771362114223365	0.09104200705718637	0.060943288306005594	0.042897309119893944	0.03381761105520265	0.03192398111106381	0.03656069197600885	0.04792429474494511	0.06664470085747408	0.09314789285843435	0.12689334215007167	0.16588418561032775	0.2069126357318048	0.24650030340379497
10.0	0.3446	0.6648	0.003448	0.1925	0.204	0.06422	1.478	9.864	0.3	1.6551724137931034	0.03192398111106381	156.02767481151278	0.9999866807755046	0.9999785055039432	0.9999652657060971	0.9999437488318603	0.9999085823988988	0.9998505807628049	0.9997534906568601	0.9995870091275237	0.999290037283726	0.9987242733457147	0.9975178362853663	0.9943606998385914	0.981758427569688	0.8389134603490495	0.33098959179423265	0.2079256515834351	0.13771362114223365	0.09104200705718637	0.060943288306005594	0.042897309119893944	0.03381761105520265	0.03192398111106381	0.03656069197600885	0.04792429474494511	0.06664470085747408	0.09314789285843435	0.12689334215007167	0.16588418561032775	0.2069126357318048	0.24650030340379497
11.0	0.3446	0.6648	0.003448	0.1925	0.204	0.06422	1.478	9.864	0.3	1.6551724137931034	0.03192398111106381	156.02767481151278	0.9999866807755046	0.9999785055039432	0.9999652657060971	0.9999437488318603	0.9999085823988988	0.9998505807628049	0.9997534906568601	0.9995870091275237	0.999290037283726	0.9987242733457147	0.9975178362853663	0.9943606998385914	0.981758427569688	0.8389134603490495	0.33098959179423265	0.2079256515834351	0.13771362114223365	0.09104200705718637	0.060943288306005594	0.042897309119893944	0.03381761105520265	0.03192398111106381	0.03656069197600885	0.04792429474494511	0.06664470085747408	0.09314789285843435	0.12689334215007167	0.16588418561032775	0.2069126357318048	0.24650030340379497
12.0	0.4298	0.8287	0.003847	0.1555	0.2311	0.06435	1.144	8.238	0.26666666666666666	1.4482758620689653	0.03812847142754702	151.9128096261778	0.9999828664196733	0.9999723665580691	0.9999553887770348	0.9999278668487751	0.9998830695716023	0.9998096707293631	0.9996881197931271	0.9994833173615207	0.9991283902168534	0.9984841794023932	0.9972210511393219	0.9943917946707783	0.9862951600316917	0.9476989803336168	0.5796058547832323	0.22410868883970203	0.13497992407986933	0.08768604048911287	0.05959195719093748	0.04415184885083895	0.03812847142754702	0.03999067498469176	0.04934278621297839	0.06638780762192421	0.09122968575640569	0.12309436746949239	0.1598592209669448	0.19832119265734557	0.2351244763027661	0.26770601615947415
13.0	0.4298	0.8287	0.003847	0.1555	0.2311	0.06435	1.144	8.238	0.26666666666666666	1.4482758620689653	0.03812847142754702	151.9128096261778	0.9999828664196733	0.9999723665580691	0.9999553887770348	0.9999278668487751	0.9998830695716023	0.9998096707293631	0.9996881197931271	0.9994833173615207	0.9991283902168534	0.9984841794023932	0.9972210511393219	0.9943917946707783	0.9862951600316917	0.9476989803336168	0.5796058547832323	0.22410868883970203	0.13497992407986933	0.08768604048911287	0.05959195719093748	0.04415184885083895	0.03812847142754702	0.03999067498469176	0.04934278621297839	0.06638780762192421	0.09122968575640569	0.12309436746949239	0.1598592209669448	0.19832119265734557	0.2351244763027661	0.26770601615947415
14.0	0.4091	0.8423	0.003333	0.1865	0.267	0.04499	1.394	10.15	0.26666666666666666	1.4482758620689653	0.035319706556877266	176.7183774890424	0.9999851140378031	0.9999759884549688	0.9999612278220726	0.9999372869370673	0.999898284071061	0.9998342876662832	0.9997280605227777	0.9995483940785017	0.9992350591789249	0.9986602673671247	0.9975122273112851	0.9948514867630396	0.9866790715117473	0.9399865199267972	0.48608402861985794	0.22956598419098898	0.14627653734007376	0.09597927748113075	0.06434102772185184	0.045685238212406706	0.036629497410825614	0.035319706556877266	0.04110556377747535	0.05418603932335553	0.07509584967758123	0.10398073668799167	0.13984147273511574	0.18021431877859984	0.22165679889112708	0.26078407616724164
15.0	0.512	0.7697	0.003546	0.1645	0.3521	0.06435	1.805	12.06	0.26666666666666666	1.4482758620689653	0.03710422193700425	189.1637738204102	0.9999873121702438	0.9999795427320353	0.9999669894583575	0.9999466648061045	0.9999136477513781	0.9998597225438595	0.9997708794761964	0.9996224316021088	0.9993686429157753	0.9989181825014197	0.9980673393915637	0.9962809960249713	0.9917497854113274	0.9750176058326206	0.8322943322966408	0.27975313028345705	0.1487143288597115	0.09441011523928901	0.06299487194765548	0.04523848375410415	0.03723292031070013	0.03710422193700425	0.04426756223277848	0.05893122513522617	0.0814844069433822	0.11172072362643312	0.14816007763047323	0.18795733193593556	0.2276082778062167	0.26400217823246586
